date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 15,600,103161,16x6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,0,0,0,30,0.771,489
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 16,600,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,0,0,0,40,1.052,696
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 17,600,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,0,0,0,20,0.606,416
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 18,600,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,0,0,0,80,3.064,"2,112.00"
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 19,600,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,0,0,0,20,0.98,688
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 20,600,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,0,0,0,60,3.048,"2,112.00"
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 21,600,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,0,0,0,60,4.146,"2,742.00"
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 22,600,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,0,0,0,20,1.886,"1,174.00"
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 23,600,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,0,0,0,10,1.024,593
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 24,600,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,0,0,0,6,0.629,387.6
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 25,600,119012,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,0,0,0,10,0.508,342
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 26,600,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,0,0,0,10,1.024,603
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 27,600,103163,16x6-8  (WIDE),ACHIEVER PLUS,NM,STD,4.33,0,0,0,40,1.028,632
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 28,600,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,0,0,0,30,0.789,510
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 29,600,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,0,0,0,30,0.909,609
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 30,600,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,5,0,0,0,30,1.149,771
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 31,600,112163,21x8-9 (WIDE),ACHIEVER PLUS,NM,STD,4,0,0,0,20,0.98,668
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 32,600,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,0,0,0,20,1.016,680
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 33,600,125013,7.00-12,ACHIEVER PLUS,NM,STD,6,0,0,0,20,1.382,892
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 34,600,133013,2.50-15,ACHIEVER PLUS,NM,STD,7,0,0,0,6,0.629,376.8
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 35,600,141051,7.00-15,ROCKSOLID,BLACK,STD,5.5,0,0,0,10,0.946,563
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 36,600,142051,7.00-15,ROCKSOLID,BLACK,STD,6,0,0,0,20,1.892,"1,128.00"
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 37,600,706071,15x5x11 1/4,RUNNERBAND,BLACK,SMOOTH,,0,0,0,6,0.114,80.4
04.07.2023,AUS-TFY,131,AUS/TFY- CONTAINER 38,600,714071,18x6x12 1/8,RUNNERBAND,BLACK,SMOOTH,,0,0,0,6,0.197,136.8
