date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
5/10/2023,AUS-TFY,3,"AUSTRALIA OREDR 06 (QLD)		",483,158011,12.00 - 20 (10.00)  ACHIEVER PLUS BLACK STD,ACHE +,STD,BLACK,10,3 LAYER,17.4,0.0232,20,0.464,348
5/11/2023,AUS-TFY,3,"AUSTRALIA OREDR 06 (QLD)		",483,158001,12.00 - 20 (10.00) ACHIEVER  BLACK STD,ACHIEVER,STD,BLACK,10,3 LAYER,16.3,0.0244,12,0.293,195.6
5/12/2023,AUS-TFY,3,"AUSTRALIA OREDR 06 (QLD)		",483,155002,12.00 - 20 (8.00)  ACHIEVER BLACK CLIP,ACHIEVER,CLIP,BLACK,8,3 LAYER,20.8,0.0303,30,0.909,624
5/13/2023,AUS-TFY,3,"AUSTRALIA OREDR 06 (QLD)		",483,155001,12.00 - 20 (8.00)  ACHIEVER BLACK STD,ACHIEVER,STD,BLACK,8,3 LAYER,26.4,0.0377,100,3.77,"2,640.00"
5/14/2023,AUS-TFY,3,"AUSTRALIA OREDR 06 (QLD)		",483,152001,10.00 - 20 (7.00)  ACHIEVER BLACK STD,ACHIEVER,STD,BLACK,7.5,3 LAYER,35.2,0.0508,40,2.032,"1,408.00"
5/15/2023,AUS-TFY,3,"AUSTRALIA OREDR 06 (QLD)		",483,120041,23 x 9 - 10 (6.50) ATIRE RUNNER SOLID  BLACK STD,RUNNER SOLID,STD,BLACK,6.5,3 LAYER,45.7,0.0691,80,5.528,"3,656.00"
5/16/2023,AUS-TFY,3,"AUSTRALIA OREDR 06 (QLD)		",483,125001,7.00 - 12 (5.00)  ACHIEVER BLACK STD,ACHIEVER,STD,BLACK,5,3 LAYER,58.7,0.0943,10,0.943,587
5/17/2023,AUS-TFY,3,"AUSTRALIA OREDR 06 (QLD)		",483,125004,7.00 - 12 (5.00)  ACHIEVER NM CLIP,ACHIEVER,CLIP,NM,5,3 LAYER,167.8,0.246,8,1.968,"1,342.40"
5/18/2023,AUS-TFY,3,"AUSTRALIA OREDR 06 (QLD)		",483,125003,7.00 - 12 (5.00)  ACHIEVER NM STD,ACHIEVER,STD,NM,5,3 LAYER,203.9,0.3074,8,2.459,"1,631.20"
5/20/2023,AUS-TFY,3,"AUSTRALIA OREDR 06 (QLD)		",483,155004,12.00 - 20 (8.00)  ACHIEVER NM CLIP,ACHIEVER,CLIP,NM,8,3 LAYER,17,0.0232,10,0.232,170
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
